Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP
FDS31,13.1,Regular,Fruits and Vegetables,178.5318
NCM53,18.75,Low Fat,Health and Hygiene,104.828
FDI16,14,Regular,Frozen Foods,52.064
DRF36,16.1,Low Fat,Soft Drinks,192.8846
FDW49,16.1,Low Fat,Canned,179.9002
FDB58,16.1,Regular,Snack Foods,141.7154
NCJ18,12.35,Low Fat,Household,119.8124
FDL51,20.7,Regular,Dairy,215.0876
FDS03,7.825,Low Fat,Meat,62.7826
NCO54,7.825,low fat,Household,53.6614
FDA48,12.1,Low Fat,Baking Goods,222.0114
NCK06,12.1,Low Fat,Household,123.1756
NCZ54,14.65,Low Fat,Household,162.4552
FDW39,14.65,Regular,Meat,177.237
FDI09,20.75,Regular,Seafood,238.188
NCO02,11.15,Low Fat,Others,65.0142
DRF13,12.1,Low Fat,Soft Drinks,144.3444
FDK25,11.6,Regular,Breakfast,168.3474
FDZ38,17.6,Low Fat,Dairy,173.7422
NCQ42,17.6,Low Fat,Household,127.9678
FDM14,17.6,Low Fat,Canned,108.9254
FDC20,10.65,Low Fat,Fruits and Vegetables,54.0272
FDW32,18.35,Regular,Fruits and Vegetables,86.2882
FDQ19,7.35,Regular,Fruits and Vegetables,241.3512
FDE08,18.2,Low Fat,Fruits and Vegetables,146.4734
FDC29,8.39,Regular,Frozen Foods,116.0176
FDV50,14.3,Low Fat,Dairy,121.973
FDF11,10.195,Regular,Starchy Foods,239.8538
FDN09,14.15,Low Fat,Snack Foods,245.3828
DRG37,16.2,Low Fat,Soft Drinks,153.7972
NCV06,16.2,Low Fat,Household,195.2478
DRJ13,12.65,Low Fat,Soft Drinks,159.9578
DRF25,12.65,Low Fat,Soft Drinks,37.319
FDE53,10.895,Low Fat,Frozen Foods,107.228
FDS08,5.735,Low Fat,Fruits and Vegetables,176.337
FDT07,5.82,Regular,Fruits and Vegetables,255.433
NCX29,10,Low Fat,Health and Hygiene,146.9102
FDG22,17.6,Regular,Snack Foods,38.119
DRJ47,17.6,Low Fat,Hard Drinks,173.308
FDL43,10.1,Low Fat,Meat,77.567
FDZ43,10.1,Regular,Fruits and Vegetables,241.2512
FDZ21,17.6,Regular,Snack Foods,97.241
FDJ50,8.645,Low Fat,Canned,53.3982
FDV35,19.5,Low Fat,Breads,155.9314
FDW56,7.68,Low Fat,Fruits and Vegetables,190.8162
DRL35,15.7,Low Fat,Hard Drinks,43.277
FDR01,5.405,Regular,Canned,199.0742
FDS24,20.85,Regular,Baking Goods,86.9514
NCL17,7.39,Low Fat,Health and Hygiene,140.4812
FDS13,6.465,Low Fat,Canned,263.1884
FDB59,18.25,Low Fat,Snack Foods,197.6084
FDW26,18.25,Regular,Dairy,222.3772
FDQ12,18.25,Low Fat,Baking Goods,230.001
FDX59,10.195,Low Fat,Breads,31.9558
FDL36,15.1,Low Fat,Baking Goods,91.583
FDQ55,13.65,Regular,Fruits and Vegetables,114.8834
FDV46,13.65,Low Fat,Snack Foods,141.418
FDM28,13.65,Low Fat,Frozen Foods,181.466
DRJ11,9.5,Low Fat,Hard Drinks,189.9872
FDD51,11.15,Low Fat,Dairy,44.7744
NCT17,11.15,Low Fat,Health and Hygiene,188.6214
NCW17,18,Low Fat,Health and Hygiene,126.8994
NCY29,18,Low Fat,Health and Hygiene,56.293
DRH36,16.2,Low Fat,Soft Drinks,73.4696
FDB17,13.15,Low Fat,Frozen Foods,179.7976
NCA17,20.6,Low Fat,Health and Hygiene,148.4392
FDT27,11.395,Regular,Meat,234.6616
FDR32,6.78,Regular,Fruits and Vegetables,229.5694
FDG41,8.84,Regular,Frozen Foods,110.7228
FDX25,16.7,Low Fat,Canned,184.0292
FDG56,13.3,Regular,Fruits and Vegetables,63.2536
FDN16,12.6,Regular,Frozen Foods,102.399
FDD47,7.6,Regular,Starchy Foods,172.3448
FDR12,12.6,Regular,Baking Goods,170.5764
FDS33,6.67,Regular,Snack Foods,90.0514
NCC55,10.695,Low Fat,Household,36.7848
FDA38,10.695,Low Fat,Dairy,241.1538
FDK44,16.6,Low Fat,Fruits and Vegetables,173.5738
FDZ57,10,Regular,Snack Foods,127.2994
NCN14,19.1,Low Fat,Others,185.2608
NCB06,17.6,Low Fat,Health and Hygiene,161.792
DRL01,19.5,Regular,Soft Drinks,235.3958
FDU10,10.1,Regular,Snack Foods,38.4848
NCS38,8.6,Low Fat,Household,112.6176
FDQ16,19.7,Low Fat,Frozen Foods,109.1912
FDS40,15.35,Low Fat,Frozen Foods,37.219
FDE36,5.26,Regular,Baking Goods,162.6868
FDV31,9.8,Low Fat,Fruits and Vegetables,175.337
NCD42,16.5,Low Fat,Health and Hygiene,39.3506
FDT20,10.5,Low Fat,Fruits and Vegetables,40.1164
NCN19,13.1,Low Fat,Others,191.353
FDW21,13.1,Regular,Snack Foods,98.8358
FDF34,9.3,Regular,Snack Foods,196.5084
FDI28,14.3,Low Fat,Frozen Foods,79.6302
FDG44,14.3,Low Fat,Fruits and Vegetables,55.7298
DRF60,10.8,low fat,Soft Drinks,240.3564
FDQ36,10.8,Regular,Baking Goods,38.1848
FDP34,12.85,Low Fat,Snack Foods,157.763
FDA20,6.78,Low Fat,Fruits and Vegetables,184.624
FDE41,9.195,Regular,Frozen Foods,85.5566
DRK47,7.905,Low Fat,Hard Drinks,229.2694
FDY10,17.6,Low Fat,Snack Foods,115.4176
FDI02,15.7,Regular,Canned,112.0202
FDE41,15.7,Regular,Frozen Foods,83.7566
FDZ52,19.2,Low Fat,Frozen Foods,112.7886
FDG50,7.405,Low Fat,Canned,92.7146
DRL01,19.5,Regular,Soft Drinks,233.9958
FDV48,9.195,Regular,Baking Goods,78.1644
FDR48,11.65,Low Fat,Baking Goods,151.1024
NCD54,21.1,Low Fat,Household,146.1786
NCT54,8.695,Low Fat,Household,93.2094
FDH02,7.27,Regular,Canned,89.0488
NCD43,8.85,Low Fat,Household,105.6964
FDE46,18.6,Low Fat,Snack Foods,152.9366
NCO42,18.6,Low Fat,Household,144.6102
FDR40,9.1,Regular,Frozen Foods,78.7618
FDG24,7.975,Low Fat,Baking Goods,82.425
NCO17,10,Low Fat,Health and Hygiene,121.444
FDF22,6.865,Low Fat,Snack Foods,214.0218
FDC59,16.7,Regular,Starchy Foods,65.5168
NCY18,7.285,Low Fat,Household,174.9054
DRE48,8.43,Low Fat,Soft Drinks,196.2768
FDV60,20.2,Regular,Baking Goods,194.611
FDL20,8.75,Low Fat,Fruits and Vegetables,111.1886
NCZ53,8.75,Low Fat,Health and Hygiene,190.4214
DRM35,9.695,Low Fat,Hard Drinks,177.5344
FDV16,7.75,Regular,Frozen Foods,35.2558
FDY19,19.75,Low Fat,Fruits and Vegetables,115.8466
FDY12,9.8,Regular,Baking Goods,50.8008
FDM15,11.8,Regular,Meat,152.4366
FDP12,9.8,Regular,Baking Goods,36.8874
FDT21,7.42,Low Fat,Snack Foods,248.0092
DRE49,20.75,Low Fat,Soft Drinks,151.8024
FDN16,12.6,Regular,Frozen Foods,103.999
FDE04,19.75,Regular,Frozen Foods,179.566
FDC51,10.895,Regular,Dairy,122.973
FDO04,16.6,Low Fat,Frozen Foods,53.5614
FDD41,6.765,Regular,Frozen Foods,105.3306
FDI45,13.1,Low Fat,Fruits and Vegetables,175.8054
NCB18,13.1,Low Fat,Household,89.5514
FDW51,6.155,Regular,Meat,213.956
NCK07,10.65,Low Fat,Others,164.1526
FDZ45,10.65,Low Fat,Snack Foods,197.9084
FDB37,20.25,Regular,Baking Goods,241.8538
FDZ60,20.5,Low Fat,Baking Goods,106.0596
FDN04,11.8,Regular,Frozen Foods,176.8344
FDW47,15,Low Fat,Breads,120.0414
FDB17,13.15,Low Fat,Frozen Foods,180.7976
FDR56,15.5,Regular,Fruits and Vegetables,198.9768
FDU55,15.5,Low Fat,Fruits and Vegetables,260.6278
FDH40,11.6,Regular,Frozen Foods,81.7276
FDH05,14.35,Regular,Frozen Foods,231.8984
FDX58,13.15,Low Fat,Snack Foods,182.695
FDC51,10.895,Regular,Dairy,121.673
NCR05,10.1,Low Fat,Health and Hygiene,199.5084
DRH25,18.7,Low Fat,Soft Drinks,50.8324
NCR53,12.15,Low Fat,Health and Hygiene,224.0404
FDS04,10.195,Regular,Frozen Foods,138.6838
FDC03,8.575,Regular,Dairy,193.3794
FDP44,16.5,Regular,Fruits and Vegetables,102.2332
FDK16,9.065,Low Fat,Frozen Foods,95.3094
NCC30,16.6,Low Fat,Household,178.7344
FDZ26,11.6,Regular,Dairy,238.5222
NCO54,19.5,Low Fat,Household,57.1614
NCP41,16.6,Low Fat,Health and Hygiene,106.2596
DRE27,11.85,Low Fat,Dairy,98.0726
FDQ10,12.85,Low Fat,Snack Foods,170.6422
NCU42,9,Low Fat,Household,170.0474
FDX43,5.655,Low Fat,Fruits and Vegetables,165.85
NCD19,8.93,Low Fat,Household,55.1614
NCI54,15.2,Low Fat,Household,108.1912
FDS37,7.655,Low Fat,Canned,114.1492
FDO25,7.655,Low Fat,Canned,209.027
FDS57,15.5,Low Fat,Snack Foods,143.547
FDI52,18.7,Low Fat,Frozen Foods,122.1072
DRK12,9.5,Low Fat,Soft Drinks,31.89
FDG40,13.65,Low Fat,Frozen Foods,34.4558
FDU49,19.5,Regular,Canned,86.254
FDR49,8.71,Low Fat,Canned,46.5376
FDF40,8.71,Regular,Dairy,247.8092
DRE03,19.6,Low Fat,Dairy,46.3718
FDR55,19.6,Regular,Fruits and Vegetables,189.1872
NCU05,11.8,Low Fat,Health and Hygiene,82.3618
FDR36,6.715,Regular,Baking Goods,40.3454
NCM30,19.1,Low Fat,Household,39.6796
FDH24,20.7,Low Fat,Baking Goods,156.6288
DRO47,10.195,Low Fat,Hard Drinks,113.986
FDQ49,20.2,Regular,Breakfast,155.163
DRJ37,10.8,Low Fat,Soft Drinks,151.9024
NCJ42,19.75,Low Fat,Household,100.8332
FDD05,19.35,Low Fat,Frozen Foods,120.9098
FDC39,7.405,Low Fat,Dairy,206.6296
NCY06,15.25,Low Fat,Household,128.8968
NCS06,15.25,Low Fat,Household,263.591
FDE16,8.895,Low Fat,Frozen Foods,207.8954
NCQ50,18.75,Low Fat,Household,215.2218
FDX50,20.1,Low Fat,Dairy,110.3228
NCL41,12.35,Low Fat,Health and Hygiene,35.7216
FDM58,16.85,Regular,Snack Foods,111.8544
FDH35,18.25,Low Fat,Starchy Foods,166.3526
FDS50,17,Low Fat,Dairy,219.8114
FDT09,17,Regular,Snack Foods,133.2284
FDR60,14.3,Low Fat,Baking Goods,76.7328
FDG22,17.6,Regular,Snack Foods,35.019
FDL52,17.6,Regular,Frozen Foods,37.9506
DRJ39,20.25,Low Fat,Dairy,218.3482
FDW45,18,Low Fat,Snack Foods,145.1418
NCQ38,16.35,Low Fat,Others,106.028
FDB26,14,Regular,Canned,53.764
DRG48,5.78,Low Fat,Soft Drinks,145.2102
FDH10,21,Low Fat,Snack Foods,191.8478
FDP28,13.65,Regular,Frozen Foods,262.8936
FDJ44,12.3,Regular,Fruits and Vegetables,173.1396
FDI07,12.35,Regular,Meat,196.9426
DRJ24,11.8,Low Fat,Soft Drinks,185.1924
DRL47,19.7,Low Fat,Hard Drinks,127.3362
FDP38,10.1,Low Fat,Canned,50.9008
FDK02,10.1,Low Fat,Canned,120.544
FDO23,17.85,Low Fat,Breads,94.1436
NCE54,20.7,Low Fat,Household,74.6354
FDS52,8.89,low fat,Frozen Foods,99.7016
FDW01,14.5,Low Fat,Canned,153.4682
NCF07,9,Low Fat,Household,100.8016
DRE15,13.35,Low Fat,Dairy,77.5012
FDR58,6.675,Low Fat,Snack Foods,92.3462
FDL24,10.3,Regular,Baking Goods,173.0422
FDQ25,10.3,Regular,Canned,173.7422
FDX56,17.1,Regular,Fruits and Vegetables,207.0638
FDD20,14.15,Low Fat,Fruits and Vegetables,123.6046
DRF60,10.8,Low Fat,Soft Drinks,236.5564
FDW13,8.5,Low Fat,Canned,51.3324
FDF09,6.215,Low Fat,Fruits and Vegetables,39.2848
FDY45,17.5,Low Fat,Snack Foods,253.0356
FDR26,20.7,Low Fat,Dairy,178.3028
FDZ01,8.975,Regular,Canned,103.399
FDH53,20.5,Regular,Frozen Foods,83.9592
FDG52,13.65,Low Fat,Frozen Foods,46.1402
FDW50,13.1,Low Fat,Dairy,167.5158
FDX49,4.615,Regular,Canned,232.23
FDJ44,12.3,Regular,Fruits and Vegetables,172.8396
NCI31,12.3,Low Fat,Others,37.519
FDZ52,19.2,Low Fat,Frozen Foods,112.4886
FDE17,20.1,Regular,Frozen Foods,152.1366
FDG34,11.5,Regular,Snack Foods,109.5254
FDE26,9.3,Low Fat,Canned,143.0786
FDD56,15.2,Regular,Fruits and Vegetables,176.5054
FDR52,12.65,Regular,Frozen Foods,191.3846
FDQ13,11.1,Low Fat,Canned,84.1908
NCJ42,11.1,Low Fat,Household,102.7332
FDH10,11.1,Low Fat,Snack Foods,192.6478
NCG42,19.2,Low Fat,Household,131.231
FDT31,19.75,Low Fat,Fruits and Vegetables,187.5872
DRD25,6.135,Low Fat,Soft Drinks,112.686
FDR35,12.5,Low Fat,Breads,199.1742
FDL33,7.235,Low Fat,Snack Foods,193.9452
FDT45,15.85,Low Fat,Snack Foods,53.3956
FDT16,9.895,Regular,Frozen Foods,260.5278
DRF60,10.8,Low Fat,Soft Drinks,239.9564
NCB54,8.76,Low Fat,Health and Hygiene,128.3336
FDH20,16.1,Regular,Fruits and Vegetables,97.341
FDA31,7.1,Low Fat,Fruits and Vegetables,172.908
FDE33,19.35,Regular,Fruits and Vegetables,76.8644
FDM12,16.7,Regular,Baking Goods,189.2214
FDW44,9.5,Regular,Fruits and Vegetables,168.6448
DRE48,8.43,Low Fat,Soft Drinks,197.8768
NCX18,14.15,Low Fat,Household,196.511
FDA38,5.44,Low Fat,Dairy,239.1538
FDQ19,7.35,Regular,Fruits and Vegetables,242.6512
FDY47,7.35,Regular,Breads,129.131
FDE17,20.1,Regular,Frozen Foods,151.3366
FDY25,12,Low Fat,Canned,181.8976
FDT03,21.25,Low Fat,Meat,185.5608
FDB49,8.3,Regular,Baking Goods,98.0384
FDL43,10.1,Low Fat,Meat,76.067
FDE47,14.15,Low Fat,Starchy Foods,123.5046
FDS49,9,Low Fat,Canned,78.3644
FDU23,12.15,Low Fat,Breads,163.6184
FDU38,12.15,Low Fat,Dairy,192.9504
FDV09,12.15,Low Fat,Snack Foods,148.0734
FDR20,20,Regular,Fruits and Vegetables,45.5744
FDY11,6.71,Regular,Baking Goods,65.8142
FDG40,6.71,Low Fat,Frozen Foods,31.9558
FDX20,7.365,Low Fat,Fruits and Vegetables,228.372
FDZ27,7.935,Low Fat,Dairy,50.035
FDH09,12.6,Low Fat,Seafood,51.3982
FDG29,17.6,Low Fat,Frozen Foods,42.7454
NCA30,19,low fat,Household,190.1872
DRE15,13.35,Low Fat,Dairy,77.6012
NCS38,8.6,Low Fat,Household,112.9176
FDY21,8.6,Low Fat,Snack Foods,196.011
FDB58,10.5,Regular,Snack Foods,140.6154
FDH41,9,Low Fat,Frozen Foods,213.3534
DRF23,4.61,Low Fat,Hard Drinks,172.4396
FDE05,10.895,Regular,Frozen Foods,146.2102
FDY10,17.6,Low Fat,Snack Foods,112.7176
FDS43,11.65,Low Fat,Fruits and Vegetables,188.224
NCM30,19.1,Low Fat,Household,41.9796
FDY49,17.2,Regular,Canned,165.7184
FDN02,16.5,Low Fat,Canned,206.8638
FDP37,15.6,Low Fat,Breakfast,128.0994
NCF07,9,Low Fat,Household,99.6016
FDJ09,15,Low Fat,Snack Foods,44.0744
FDO23,15,Low Fat,Breads,94.3436
FDH09,15,Low Fat,Seafood,52.4982
FDX34,6.195,Low Fat,Snack Foods,119.3098
FDV60,20.2,Regular,Baking Goods,197.311
FDE32,20.7,Low Fat,Fruits and Vegetables,38.7506
NCI30,20.25,Low Fat,Household,245.046
FDS37,7.655,Low Fat,Canned,117.7492
FDC57,7.655,Regular,Fruits and Vegetables,193.982
DRC01,5.92,Regular,Soft Drinks,49.0692
DRD27,18.75,Low Fat,Dairy,99.0042
FDI12,9.395,Regular,Baking Goods,88.3856
FDQ33,13.35,Low Fat,Snack Foods,149.3708
FDQ27,13.35,Regular,Meat,101.399
NCB07,19.2,Low Fat,Household,196.211
FDC08,19,Regular,Fruits and Vegetables,226.172
FDD20,14.15,Low Fat,Fruits and Vegetables,124.2046
FDS24,20.85,Regular,Baking Goods,88.1514
FDH34,8.63,Low Fat,Snack Foods,186.0582
NCX30,16.7,Low Fat,Household,248.4776
FDM01,7.895,Regular,Breakfast,104.5332
FDB20,7.72,Low Fat,Fruits and Vegetables,77.9986
NCK29,5.615,Low Fat,Health and Hygiene,121.573
FDS11,7.05,Regular,Breads,224.9088
NCV41,14.35,Low Fat,Health and Hygiene,109.2228
DRL60,8.52,Low Fat,Soft Drinks,151.7682
FDV10,7.645,Regular,Snack Foods,44.0112
FDV09,12.1,Low Fat,Snack Foods,149.5734
FDQ39,14.8,Low Fat,Meat,192.4846
DRE49,20.75,Low Fat,Soft Drinks,153.6024
FDR45,10.8,Low Fat,Snack Foods,238.6222
DRJ23,18.35,Low Fat,Hard Drinks,190.2872
FDQ26,13.5,Regular,Dairy,58.6562
NCA06,20.5,Low Fat,Household,34.819
FDT24,12.35,Regular,Baking Goods,78.6328
DRG27,8.895,Low Fat,Dairy,39.1138
FDR02,16.7,Low Fat,Dairy,110.8886
DRG37,16.2,Low Fat,Soft Drinks,155.8972
FDJ07,7.26,Low Fat,Meat,118.115
FDP32,6.65,Low Fat,Fruits and Vegetables,126.7678
FDV59,13.35,Low Fat,Breads,218.9166
FDP60,17.35,Low Fat,Baking Goods,99.8016
FDE32,17.35,Low Fat,Fruits and Vegetables,39.6506
FDK26,5.46,Regular,Canned,187.424
FDW28,18.25,Low Fat,Frozen Foods,197.3452
FDP56,8.185,Low Fat,Fruits and Vegetables,47.7692
FDT25,7.5,Low Fat,Canned,122.2072
FDQ12,12.65,Low Fat,Baking Goods,230.601
FDR60,14.3,Low Fat,Baking Goods,77.2328
FDZ10,17.85,Low Fat,Snack Foods,128.002
FDM13,6.425,Low Fat,Breakfast,130.5626
FDF26,6.825,Regular,Canned,153.4998
FDN02,6.825,Low Fat,Canned,205.3638
NCI30,20.25,Low Fat,Household,245.546
NCQ54,17.7,Low Fat,Household,166.8474
FDB02,9.695,Regular,Canned,175.437
FDC02,9.695,Low Fat,Canned,259.3278
FDA11,7.75,Low Fat,Baking Goods,95.6436
DRI23,7.75,Low Fat,Hard Drinks,159.6578
FDE04,19.75,Regular,Frozen Foods,179.866
FDW38,5.325,Regular,Dairy,55.5298
FDG46,5.325,Regular,Snack Foods,115.4518
NCJ05,5.325,Low Fat,Health and Hygiene,152.3682
FDU01,5.325,Regular,Canned,185.1924
FDY11,6.71,Regular,Baking Goods,66.6142
FDX60,14.35,Low Fat,Baking Goods,79.296
NCN29,15.2,Low Fat,Health and Hygiene,47.8034
FDT07,5.82,Regular,Fruits and Vegetables,256.633
FDI21,5.59,Regular,Snack Foods,61.9168
FDI41,18.5,Regular,Frozen Foods,148.0418
FDE10,18.5,Regular,Snack Foods,133.1626
FDQ28,14,Regular,Frozen Foods,153.5656
FDY32,7.605,Low Fat,Fruits and Vegetables,165.021
NCK05,7.605,Low Fat,Health and Hygiene,61.1536
FDH12,9.6,Low Fat,Baking Goods,107.128
FDJ27,17.7,Regular,Meat,103.8674
DRL35,15.7,Low Fat,Hard Drinks,43.377
NCY29,13.65,Low Fat,Health and Hygiene,55.093
FDC21,14.6,Regular,Fruits and Vegetables,110.1254
FDM33,15.6,Low Fat,Snack Foods,220.1798
DRJ39,20.25,Low Fat,Dairy,217.5482
FDB22,8.02,Low Fat,Snack Foods,151.9998
FDC32,18.35,Low Fat,Fruits and Vegetables,93.8462
FDD02,16.6,Low Fat,Canned,118.8124
FDL28,10,Regular,Frozen Foods,228.6668
FDV37,13,Regular,Canned,196.2426
FDA28,16.1,Regular,Frozen Foods,126.5362
FDL04,19,Low Fat,Frozen Foods,105.5622
FDR10,17.6,Low Fat,Snack Foods,163.5552
FDA39,6.32,Low Fat,Meat,39.1822
FDR15,9.3,Regular,Meat,153.1314
FDQ40,11.1,Regular,Frozen Foods,175.0712
DRG23,11.1,Low Fat,Hard Drinks,151.2682
FDU36,6.15,Low Fat,Baking Goods,99.4384
FDF47,20.85,Low Fat,Starchy Foods,223.9746
FDH14,17.1,Regular,Canned,141.4838
FDO45,13.15,Regular,Snack Foods,86.3856
FDK60,16.5,Regular,Baking Goods,95.7068
FDS43,11.65,Low Fat,Fruits and Vegetables,185.924
FDN44,13.15,Low Fat,Fruits and Vegetables,160.292
FDS34,19.35,Regular,Snack Foods,113.9518
FDU20,19.35,Regular,Fruits and Vegetables,122.2098
FDP44,16.5,Regular,Fruits and Vegetables,101.4332
FDC02,21.35,Low Fat,Canned,258.5278
FDT56,16,Regular,Fruits and Vegetables,57.5246
NCA06,20.5,Low Fat,Household,34.919
FDE04,19.75,Regular,Frozen Foods,180.466
NCX06,17.6,Low Fat,Household,179.1976
FDX49,4.615,Regular,Canned,234.33
DRM59,5.88,Low Fat,Hard Drinks,154.1998
FDJ34,11.8,Regular,Snack Foods,126.0704
FDP60,17.35,Low Fat,Baking Goods,101.9016
FDV07,12.35,Low Fat,Fruits and Vegetables,111.0228
FDH41,9,Low Fat,Frozen Foods,214.1534
NCB31,6.235,Low Fat,Household,263.291
FDW34,9.6,Low Fat,Snack Foods,244.817
FDX45,16.75,Low Fat,Snack Foods,156.163
FDH14,17.1,Regular,Canned,141.3838
FDF26,6.825,Regular,Canned,154.5998
FDU24,6.78,Regular,Baking Goods,92.212
FDX11,16,Regular,Baking Goods,181.9634
FDF35,15,Low Fat,Starchy Foods,105.9938
NCC43,7.39,Low Fat,Household,251.3066
FDG29,17.6,Low Fat,Frozen Foods,42.5454
FDS44,12.65,Regular,Fruits and Vegetables,239.6538
FDZ10,17.85,Low Fat,Snack Foods,127.102
FDC52,11.15,Regular,Dairy,150.4708
DRL35,15.7,low fat,Hard Drinks,42.877
NCP55,14.65,Low Fat,Others,56.4614
FDV38,14.65,Low Fat,Dairy,55.0956
FDL44,18.25,Low Fat,Fruits and Vegetables,160.4894
FDZ47,20.7,Regular,Baking Goods,98.7042
FDN23,6.575,Regular,Breads,145.7444
NCP43,17.75,Low Fat,Others,177.866
DRJ24,17.75,Low Fat,Soft Drinks,185.2924
FDA02,17.75,Regular,Dairy,143.5786
FDH33,17.75,Low Fat,Snack Foods,44.9428
FDF56,16.7,Regular,Fruits and Vegetables,181.2976
NCN26,10.85,Low Fat,Household,115.1808
FDD22,10,Low Fat,Snack Foods,113.7544
FDB41,19,Regular,Frozen Foods,46.8718
FDT60,12,Low Fat,Baking Goods,124.1388
FDE51,5.925,Regular,Dairy,43.8086
NCQ06,13,Low Fat,Household,254.5014
FDS28,8.18,Regular,Frozen Foods,58.5588
FDH32,12.8,Low Fat,Fruits and Vegetables,96.541
FDW37,19.2,Low Fat,Canned,89.7488
FDY33,14.5,Regular,Snack Foods,159.4262
FDF17,5.19,Low Fat,Frozen Foods,196.811
NCB18,19.6,Low Fat,Household,88.8514
FDU14,17.75,Low Fat,Dairy,248.275
FDU22,12.35,Low Fat,Snack Foods,119.1124
NCV41,14.35,Low Fat,Health and Hygiene,109.8228
FDY52,6.365,Low Fat,Frozen Foods,63.2536
DRG48,6.365,Low Fat,Soft Drinks,143.9102
FDU01,6.365,Regular,Canned,184.7924
NCP53,14.75,Low Fat,Health and Hygiene,238.6906
FDC17,12.15,Low Fat,Frozen Foods,211.9928
NCZ30,6.59,Low Fat,Household,121.5098
FDK03,12.6,Regular,Dairy,255.6356
FDE08,12.6,Low Fat,Fruits and Vegetables,149.8734
NCM07,12.6,Low Fat,Others,83.9908
FDY35,12.6,Regular,Breads,47.7402
FDS28,12.6,Regular,Frozen Foods,59.2588
FDI56,7.325,Low Fat,Fruits and Vegetables,92.7146
FDR23,7.325,Low Fat,Breads,175.837
FDF29,15.1,Regular,Frozen Foods,130.531
FDA47,15.1,Regular,Baking Goods,164.121
FDI10,8.51,Regular,Snack Foods,172.9422
FDC45,8.51,Low Fat,Fruits and Vegetables,170.2106
FDA27,20.35,Regular,Dairy,257.2672
NCR41,17.85,Low Fat,Health and Hygiene,96.9094
FDR09,18.25,Low Fat,Snack Foods,258.4962
NCB06,17.6,Low Fat,Health and Hygiene,160.492
FDE53,10.895,Low Fat,Frozen Foods,106.428
DRE27,11.85,Low Fat,Dairy,99.6726
NCA06,11.85,Low Fat,Household,35.919
FDL56,14.1,Low Fat,Fruits and Vegetables,88.6198
FDT09,15.15,Regular,Snack Foods,131.7284
DRH03,17.25,Low Fat,Dairy,91.612
NCQ53,17.6,Low Fat,Health and Hygiene,237.059
NCT18,14.6,Low Fat,Household,179.6976
FDL43,10.1,Low Fat,Meat,76.467
FDJ53,10.5,Low Fat,Frozen Foods,119.2098
NCQ02,12.6,Low Fat,Household,186.9556
NCJ05,18.7,Low Fat,Health and Hygiene,153.6682
FDT40,5.985,Low Fat,Frozen Foods,127.1678
FDA48,12.1,Low Fat,Baking Goods,221.4114
FDV37,13,Regular,Canned,196.0426
FDX07,19.2,Regular,Fruits and Vegetables,181.695
DRG48,5.78,Low Fat,Soft Drinks,146.3102
FDF44,7.17,Regular,Fruits and Vegetables,130.9968
NCQ50,18.75,Low Fat,Household,215.7218
FDT25,7.5,Low Fat,Canned,123.4072
FDO03,10.395,Regular,Meat,230.5352
FDM36,11.65,Regular,Baking Goods,170.4422
FDM21,20.2,Low Fat,Snack Foods,258.0646
FDK58,11.35,Regular,Snack Foods,103.0016
FDD26,8.71,Regular,Canned,186.5924
FDW57,8.31,Regular,Snack Foods,177.3028
FDT32,19,Regular,Fruits and Vegetables,188.8214
NCB19,6.525,Low Fat,Household,84.6882
FDD05,6.525,Low Fat,Frozen Foods,122.0098
NCE54,6.525,Low Fat,Household,77.0354
FDO39,6.985,Regular,Meat,182.8608
NCV06,11.3,Low Fat,Household,192.2478
DRB13,6.115,Regular,Soft Drinks,189.053
FDX51,9.5,Regular,Meat,194.2452
FDC38,15.7,Low Fat,Canned,134.2942
FDC05,13.1,Regular,Frozen Foods,198.7768
DRJ59,13.1,Low Fat,Hard Drinks,39.0164
FDL22,16.85,low fat,Snack Foods,90.6488
DRH13,16.85,Low Fat,Soft Drinks,107.628
FDV22,14.85,Regular,Snack Foods,157.563
FDP07,18.2,Low Fat,Fruits and Vegetables,197.211
FDK27,11,Low Fat,Meat,119.1756
FDP31,21.1,Regular,Fruits and Vegetables,64.9168
NCI54,15.2,Low Fat,Household,110.7912
DRK35,15.2,Low Fat,Hard Drinks,37.7506
NCO07,9.06,Low Fat,Others,213.256
FDN31,11.5,Low Fat,Fruits and Vegetables,191.253
NCO02,11.15,Low Fat,Others,66.8142
FDQ26,13.5,Regular,Dairy,57.2562
FDQ07,15.1,Regular,Fruits and Vegetables,221.8456
FDB49,8.3,Regular,Baking Goods,98.2384
FDY44,14.15,Regular,Fruits and Vegetables,196.411
NCI54,14.15,Low Fat,Household,107.3912
FDV44,8.365,Regular,Fruits and Vegetables,190.1188
FDI48,11.85,Regular,Baking Goods,53.0666
NCL05,19.6,Low Fat,Health and Hygiene,42.277
FDT32,19,Regular,Fruits and Vegetables,189.6214
FDM10,18.25,Low Fat,Snack Foods,212.9218
FDS21,19.85,Regular,Snack Foods,63.5194
FDD11,12.85,Low Fat,Starchy Foods,251.704
FDL04,12.85,Low Fat,Frozen Foods,106.7622
FDO58,19.6,Low Fat,Snack Foods,163.7526
FDQ08,15.7,Regular,Fruits and Vegetables,60.5536
FDT28,13.3,Low Fat,Frozen Foods,151.3708
FDT22,10.395,Low Fat,Snack Foods,59.022
